feature,importance,importance_pct
office_region_win_rate,326798.0790016651,19.02990949739197
company_location_win_rate,278285.4187518358,16.20494939709936
state_win_rate,268988.4706425667,15.66357509752632
RooftopLongitude,126134.67425656319,7.344998608676594
RooftopLatitude,121891.95349669456,7.097939041100021
state_count,66701.82847452164,3.8841408219362323
segment_win_rate,62426.24988210201,3.6351678967853553
cumulative_bids_client,47940.81925535202,2.791660998887104
bid_vs_client_ratio,43149.975197553635,2.512683444568136
subtype_win_rate,42318.11180317402,2.464242874912411
bid_vs_state_ratio,37491.95332109928,2.183208912244947
DistanceInMiles,35855.63744544983,2.0879239487657215
days_since_last_bid_client,32832.64884388447,1.911891091794297
propertytype_win_rate,28940.06061398983,1.6852202314520284
TargetTime,27671.984587311745,1.6113783897336948
BidFee,21477.736966371536,1.2506786818558921
lag1_bidfee_client,13271.301515817642,0.772806460583031
IncomePerHousehold,13174.455131649971,0.7671669600954806
AverageHouseValue,13073.226682901382,0.7612722858546409
fee_percentile_empirical,12730.026204586029,0.7412872416898937
MedianAge,12697.271214962006,0.7393798728031568
NumberofEmployees,11607.829384565353,0.6759401503346054
fee_diff_from_segment,10227.315617322922,0.5955509016254866
NumberofBusinesses,10091.581219315529,0.5876468976678915
ZipPopulation,8129.497040271759,0.47339198996607074
DeliveryTotal,7996.228168725967,0.4656315570648631
fee_vs_segment_ratio,7773.533025026321,0.4526637071831893
distance_log,7698.888557434082,0.44831705536962685
PopulationEstimate,7313.869163155556,0.42589683720236005
fee_percentile_segment,6510.792575597763,0.37913256359528874
targettime_log,5365.556989192963,0.3124438926304728
days_since_last_segment,719.5892930030823,0.04190269160386085
