experiment,start_date,train_samples,train_rmse,valid_rmse,test_rmse,test_r2,overfit_ratio,best_iter
Very Recent (2023-2025),2023-01-01,23523,149.37000907547014,315.88101406625077,383.2928009166252,0.9684912526135349,2.566062647308029,500
Full Data (2018-2025),2018-01-01,73279,133.2402979212914,339.6075475587036,385.01388381333436,0.9682076526214661,2.8896204062885866,500
Last 2 Years (2024-2025),2024-01-01,10610,254.7297044056883,446.48829852918396,523.5282717650072,0.9412172238344798,2.055230555016953,274
Recent (2022-2025),2022-01-01,38627,179.42213380696043,496.06706870855027,615.607704908608,0.9187210831702618,3.431057762198603,498
