feature,importance,importance_pct
segment_avg_fee,524395.0393937209,36.82221138952628
subtype_avg_fee,223365.787825936,15.684401336106871
propertytype_avg_fee,182906.3126877806,12.84339935414899
office_region_avg_fee,120492.41939298093,8.46079196869101
companytype_avg_fee,74283.62343426599,5.216081540433548
segment_frequency,68524.34158066334,4.811673645747123
segment_std_fee,67324.7398875039,4.727439463860468
segment_x_state_fee,62014.54561051788,4.354565806602578
rolling_avg_fee_segment,19093.586508063017,1.3407222146818079
companytype_frequency,17477.691290098002,1.2272565431376523
propertytype_frequency,16266.346369772218,1.1421977699398085
office_region_frequency,12201.047453839215,0.856738746114631
state_avg_fee,8129.529841788375,0.5708430550332511
rolling_avg_fee_state,6380.964178445283,0.44806146930634094
contacttype_avg_fee,3772.2940808459557,0.2648846759285949
company_location_frequency,2509.8110927434172,0.17623506643316783
RooftopLongitude,2472.7747552902147,0.17363443190319142
joblength_x_segment_fee,1689.0938267170568,0.1186055650259915
subtype_frequency,1686.7231293933073,0.11843909831399396
JobLength_Days,1582.0736388871446,0.1110907723922246
RooftopLatitude,1394.2710725176776,0.09790356565139201
building_sf_log,986.3566680797376,0.0692604449109436
GrossBuildingSF,933.5139824488433,0.0655499129750567
YearBuilt,555.1107991719618,0.03897902469739419
GrossLandAreaSF,492.80791237344965,0.03460421201700557
GLARentableSF,440.2696789968759,0.030915058249149335
GrossLandAreaAcres,371.1278821870219,0.026060027848923542
state_frequency,367.6175095872022,0.025813534895679738
income_x_segment_fee,314.50280898530036,0.022083902487799168
joblength_log,231.89699436188675,0.01628344950947952
Zip_WorkersOutZip,149.05722276997403,0.01046656843344162
Year,115.23323140852153,0.00809149989467575
state_count,111.227951167617,0.007810255289701242
rolling_std_fee_segment,108.66527076391503,0.007630307821742718
land_acres_log,106.83281499985605,0.00750163560244761
Zip_PopDensity,99.8693148009479,0.007012669351676714
Zip_LandArea,98.23548886738718,0.00689794461292095
Zip_MedianIncome,88.98942492902279,0.0062487002545968265
Zip_GrowthRank,79.28762644529343,0.005567454918943971
Zip_Population,68.86666477279505,0.004835711052658493
days_since_last_segment,54.00938997976482,0.0037924561169639394
Zip_MedianAge,48.856817921157926,0.0034306504489295033
WeekOfYear,43.95890047354624,0.0030867262351670683
Zip_PopCount,41.78485346864909,0.0029340680054522283
pop_density_log,30.852813153527677,0.0021664369846332234
Zip_NumberOfEmployees,29.77970043552341,0.002091084663618084
Zip_IncomePerHousehold,27.595507223159075,0.0019377139828537628
DayOfWeek_cos,27.124003938399255,0.0019046057489498821
Zip_NumberOfBusinesses,20.119154090527445,0.001412735989563071
Zip_HouseholdsPerZip,19.63346486352384,0.0013786316406603448
Month_cos,14.622188382782042,0.0010267475303175472
Zip_AverageHouseValue,13.294439548626542,0.0009335150537098435
Zip_DeliveryTotal,12.557031858712435,0.0008817354223279898
Month,12.500439807772636,0.0008777616157391989
Zip_PopulationEstimate,11.390527511015534,0.0007998252850250949
DayOfWeek,11.111991853220388,0.0007802669404558719
Month_sin,10.48245123954257,0.0007360615689063288
DayOfWeek_sin,8.957468152977526,0.000628979607101595
joblength_bucket,3.707258213311434,0.00026031795755340563
Quarter,2.1345583740621805,0.00014988539892344044
