feature,importance,importance_pct
JobCount,124588.86530399323,47.114400848202344
market_competitiveness,28532.335127830505,10.78975935022634
TargetTime_Original,9348.653714418411,3.5352775500237876
PropertyState_frequency,9169.81331372261,3.4676474427451307
RooftopLongitude,6630.510362625122,2.50738717533586
targettime_ratio_to_proptype,6107.350648880005,2.309549620584262
RooftopLatitude,5891.39609003067,2.2278844603325925
propertytype_std_fee,4064.5328884124756,1.5370396969112563
segment_std_fee,3967.2770586013794,1.5002615294613462
IECount,3884.384213924408,1.4689148541221864
state_std_fee,3689.148467063904,1.3950846991156367
total_bids_to_client,3660.905427455902,1.3844043394702037
office_avg_fee,3638.696813106537,1.3760059520526275
TargetTime,3498.8499925136566,1.32312161807396
segment_avg_fee,3052.0587503910065,1.1541634882646017
office_std_fee,2952.338223695755,1.1164532735030315
client_relationship_strength,2665.558576107025,1.0080049684427512
BidCompanyName_encoded,2050.358241081238,0.7753614242894975
OfficeLocation_frequency,2006.6813967227936,0.7588446324568783
OfficeId,1991.1892719268799,0.7529861460195542
rolling_bid_count_office,1800.347020149231,0.6808174307247571
client_std_fee,1434.8546583652496,0.5426032042926396
client_avg_fee,1420.0065474510193,0.5369882575014902
rolling_avg_fee_proptype,1358.773410320282,0.5138323955315519
state_avg_fee,1323.4441165924072,0.5004723051067969
rolling_std_fee_office,1108.964030265808,0.41936472991143503
targettime_x_size,1106.788108587265,0.41854188554306365
OfficeLocation_encoded,1053.3971331119537,0.3983516075909959
rolling_avg_fee_segment,1049.488828420639,0.39687364699303856
distance_x_volume,1047.473102092743,0.3961113819384444
PropertyState_encoded,1046.6129670143127,0.3957861141163973
DistanceInKM,1002.5850005149841,0.3791365422857265
LeaseCount,988.2222442626953,0.37370513672870304
BusinessSegment_frequency,950.0122137069702,0.35925566974277334
propertytype_avg_fee,907.5753405094147,0.3432077841657154
avg_historical_fee_client,862.946056842804,0.32633081883573717
days_since_last_bid_client,835.3280644416809,0.31588682641768107
rolling_avg_fee_office,808.3221724033356,0.3056743052613695
BidCompanyType_frequency,786.4379742145538,0.2973985987350118
building_size_numeric,777.8224084377289,0.29414054498716713
Bid_SubProperty_Type_encoded,761.1686942577362,0.28784279306870236
days_since_start,746.463538646698,0.2822819061122061
prev_fee_same_client,738.3135612010956,0.27919991878260797
rolling_avg_fee_state,642.7303810119629,0.24305427884288525
DistanceInMiles,588.0611836910248,0.22238062979452528
WeekOfYear,575.0800092220306,0.21747168182457344
BidCompanyType_encoded,550.9186720848083,0.2083348547081685
Bid_Property_Type_encoded,548.0810852050781,0.2072617956882713
DayOfMonth,525.6244606971741,0.1987696209968862
AverageHouseValue,518.7038609981537,0.19615253392787713
DeliveryTotal,505.14523434638977,0.19102521721732152
IncomePerHousehold,429.55140376091003,0.1624387297558193
SaleCount,427.6088409423828,0.1617041321408431
MedianAge,424.5932719707489,0.16056376759086266
NumberofEmployees,419.33078145980835,0.15857370943608814
NumberofBusinesses,329.6440691947937,0.12465787191641012
PropertyCity_encoded,308.3728792667389,0.11661397998157846
MarketOrientation_frequency,306.77479219436646,0.1160096489706621
Month_cos,299.20986008644104,0.11314890180154241
DayOfWeek_sin,255.10686087608337,0.09647095567582113
ZipPopulation,227.49498987197876,0.08602927811914671
PopulationEstimate,224.27954936027527,0.0848133303472306
Bid_Property_Type_frequency,168.9430491924286,0.06388733472087037
Month,167.13827991485596,0.06320484497369588
DayOfWeek,167.1034698486328,0.06319168123382565
Month_sin,136.15375089645386,0.05148776643137317
BusinessSegment_encoded,100.07426953315735,0.0378439857997896
DayOfWeek_cos,99.41984963417053,0.03759651102450631
quarterly_avg_fee,97.29221868515015,0.036791928230172334
same_proptype_as_last_client,74.06512999534607,0.028008395573397248
is_peak_season,11.00855016708374,0.004162982334448667
Quarter,5.269680023193359,0.001992776933546232
Year,0.0,0.0
BusinessSegmentDetail,0.0,0.0
is_weekday,0.0,0.0
