removal_pct,num_features,features_removed,test_rmse,test_mae,rmse_change,rmse_change_pct
0,84,0,349.3224728337666,103.98800678441194,0.0,0.0
10,76,8,339.727831571161,103.43483051279384,-9.594641262605592,-2.746643004319802
20,68,16,328.74641093771106,102.44306272001461,-20.576061896055535,-5.890277178315735
30,59,25,338.7815861807906,108.08600680412485,-10.540886652975985,-3.0175231978253274
40,51,33,332.7987806055394,96.30334761056163,-16.52369222822722,-4.730211627721532
50,42,42,352.0077294961814,113.41391227280391,2.6852566624148153,0.7687042407067405
