Model,Train_RMSE,Test_RMSE,Test_MAE,Test_R2,vs_Baseline
Pooled OLS,1802.5714841804463,1814.523507959567,1092.1170469431231,0.2701655391091089,-663.7847825733751
Fixed Effects,1794.9516015618856,1804.3163952236835,1071.4012003134542,0.27835341874151354,-659.4883172217383
Random Effects,1801.5311220848637,1813.975925593014,1083.399781893918,0.27060596788027413,-663.5542895117288
LightGBM (baseline),,237.57,,,0.0
