feature,importance,importance_pct
subtype_avg_fee,438603.7891665697,19.992892971818296
state_win_rate,266956.9099651575,12.168706839406235
company_location_win_rate,264556.6458469629,12.059295510082459
office_region_win_rate,261629.9005177021,11.925885567968486
RooftopLatitude,122194.20742309093,5.5699831399729
propertytype_avg_fee,96611.80704653263,4.4038596241167856
office_region_avg_fee,92368.63104832172,4.210442773446119
subtype_win_rate,70019.1393339634,3.191685054392279
propertytype_win_rate,60549.7704167366,2.7600424558809387
RooftopLongitude,56830.50308585167,2.590506953642669
state_count,46138.04476618767,2.10311222502694
client_avg_fee,36297.28238117695,1.6545403841441515
segment_avg_fee,25640.287705659866,1.1687621961496686
segment_win_rate,25323.940333247185,1.154342122008082
office_avg_fee,24739.84558916092,1.1277173093813873
days_since_last_bid_client,24128.679474830627,1.0998585014695221
cumulative_bids_client,23632.3978202343,1.0772364761945579
DistanceInMiles,20838.266033411026,0.9498714621593098
bid_vs_client_ratio,19683.48943412304,0.897233237123007
segment_std_fee,18549.19970357418,0.8455288657928186
BidFee,18038.663173913956,0.8222570600131744
TargetTime,17774.928493261337,0.8102352321733743
rolling_avg_fee_state,17505.22180187702,0.7979411819444056
client_std_fee,16103.607129573822,0.7340513277679613
bid_vs_state_ratio,14863.519830942154,0.6775243819238193
state_avg_fee,10889.872361660004,0.49639346029622755
segment_x_state_fee,9818.212616562843,0.44754395394187924
IncomePerHousehold,9201.600440263748,0.41943689798303074
MedianAge,9052.50626707077,0.4126407326944611
NumberofEmployees,8023.114407300949,0.36571792494228483
AverageHouseValue,7487.219555258751,0.3412902098024159
ZipPopulation,6710.614634752274,0.3058901985836873
NumberofBusinesses,6704.483553886414,0.30561072529462696
DeliveryTotal,6239.765927553177,0.28442748430381704
lag1_bidfee_client,6186.365908265114,0.2819933492217924
fee_percentile_empirical,5835.563019037247,0.2660026879649335
PopulationEstimate,5077.976392745972,0.23146958836471504
distance_log,4115.764893531799,0.1876090655074081
fee_diff_from_segment,3948.696638584137,0.17999358697608023
targettime_log,3223.9342885017395,0.1469567175893957
rolling_avg_fee_segment,3140.447885632515,0.14315115375617352
rolling_std_fee_segment,3033.4683544635773,0.1382747017745341
fee_vs_segment_ratio,2949.9096813201904,0.13446584364269423
fee_percentile_segment,2245.7315661907196,0.10236726620989962
days_since_last_segment,334.58931183815,0.015251597150598295
